transition,source,destination,seed,sample,performanceSeconds,steps,occupiedFraction,activity,changeRate,centroidU,centroidV
01-dormancy-to-nucleation,dormancy,nucleation,11000011,0,5.000,4600,0.001701,3.668196e-5,1.118223e-6,0.3945,0.4387
01-dormancy-to-nucleation,dormancy,nucleation,11000011,1,10.000,5200,0.002308,5.097287e-5,1.358981e-6,0.3945,0.4389
01-dormancy-to-nucleation,dormancy,nucleation,11000011,2,15.000,5800,0.003799,8.858086e-5,3.785924e-6,0.3945,0.4390
01-dormancy-to-nucleation,dormancy,nucleation,11000011,3,20.000,6400,0.006268,1.542715e-4,6.325033e-6,0.3945,0.4384
01-dormancy-to-nucleation,dormancy,nucleation,11000011,4,25.000,7000,0.010239,2.426381e-4,8.590128e-6,0.3945,0.4386
01-dormancy-to-nucleation,dormancy,nucleation,11000011,5,30.000,7600,0.015373,3.728288e-4,1.669504e-5,0.3946,0.4393
01-dormancy-to-nucleation,dormancy,nucleation,11000011,6,35.000,8200,0.021748,5.229615e-4,1.333530e-5,0.3947,0.4376
01-dormancy-to-nucleation,dormancy,nucleation,11000011,7,40.000,8800,0.026764,6.529758e-4,1.680753e-5,0.3945,0.4401
01-dormancy-to-nucleation,dormancy,nucleation,11000011,8,45.000,9400,0.034801,8.425883e-4,1.894975e-5,0.3950,0.4412
01-dormancy-to-nucleation,dormancy,nucleation,11000011,9,50.000,10000,0.043579,1.069327e-3,2.400573e-5,0.3966,0.4405
01-dormancy-to-nucleation,dormancy,nucleation,11000011,10,55.000,10600,0.052345,1.279369e-3,2.575715e-5,0.3949,0.4409
01-dormancy-to-nucleation,dormancy,nucleation,11000011,11,60.000,11200,0.063538,1.555424e-3,2.710053e-5,0.3943,0.4384
01-dormancy-to-nucleation,dormancy,nucleation,11000022,0,5.000,4600,0.001694,3.672118e-5,1.104138e-6,0.6028,0.4485
01-dormancy-to-nucleation,dormancy,nucleation,11000022,1,10.000,5200,0.002247,5.086456e-5,1.363952e-6,0.6034,0.4491
