# Offline (F,k) parameter search — output of `npm run tune` (scripts/tune.ts).
# 99 candidates, 160x160, 12000 steps, one 6-cell replace seed.
# NOTE: the run was stopped by its 900 s shell budget after F<=0.033, so the table is partial;
# the tabulated region is the one that mattered for choosing the mature state.

# tune: grid=160x160 steps=12000 candidates=99
F	k	occupied	meanV	edgeDensity	activity	saturated	clipped	clippedPerStep
0.0140	0.0450	0.0000	0.0000	0.00000	0.000000	0	0	0.000e+0
0.0140	0.0510	0.2591	0.0683	0.02398	0.004330	0	0	0.000e+0
0.0140	0.0540	0.1818	0.0476	0.01888	0.003196	0	0	0.000e+0
0.0140	0.0570	0.0000	0.0000	0.00000	0.000000	25600	0	0.000e+0
0.0140	0.0590	0.0000	0.0000	0.00000	0.000000	25600	0	0.000e+0
0.0140	0.0600	0.0000	0.0000	0.00000	0.000000	25600	0	0.000e+0
0.0140	0.0620	0.0000	0.0000	0.00000	0.000000	25600	0	0.000e+0
0.0140	0.0649	0.0000	0.0000	0.00000	0.000000	25600	0	0.000e+0
0.0140	0.0660	0.0000	0.0000	0.00000	0.000000	25600	0	0.000e+0
0.0180	0.0450	0.9641	0.1860	0.01313	0.011449	0	0	0.000e+0
0.0180	0.0510	0.3685	0.0946	0.02907	0.006675	0	0	0.000e+0
0.0180	0.0540	0.3509	0.0901	0.03139	0.006321	0	0	0.000e+0
0.0180	0.0570	0.1826	0.0509	0.02222	0.003822	0	0	0.000e+0
0.0180	0.0590	0.0000	0.0000	0.00000	0.000000	25600	0	0.000e+0
0.0180	0.0600	0.0000	0.0000	0.00000	0.000000	25600	0	0.000e+0
0.0180	0.0620	0.0000	0.0000	0.00000	0.000000	25600	0	0.000e+0
0.0180	0.0649	0.0000	0.0000	0.00000	0.000000	25600	0	0.000e+0
0.0180	0.0660	0.0000	0.0000	0.00000	0.000000	25600	0	0.000e+0
0.0220	0.0450	1.0000	0.2346	0.00000	0.015716	0	0	0.000e+0
0.0220	0.0510	0.7360	0.1634	0.03129	0.011947	0	0	0.000e+0
0.0220	0.0540	0.5530	0.1347	0.03794	0.010201	0	0	0.000e+0
0.0220	0.0570	0.3152	0.0922	0.03785	0.007670	0	0	0.000e+0
0.0220	0.0590	0.3166	0.0875	0.03635	0.007120	0	0	0.000e+0
0.0220	0.0600	0.0000	0.0000	0.00000	0.000000	25600	0	0.000e+0
0.0220	0.0620	0.0000	0.0000	0.00000	0.000000	25600	0	0.000e+0
0.0220	0.0649	0.0000	0.0000	0.00000	0.000000	25600	0	0.000e+0
0.0220	0.0660	0.0000	0.0000	0.00000	0.000000	25600	0	0.000e+0
0.0260	0.0450	1.0000	0.2698	0.00000	0.019159	0	0	0.000e+0
0.0260	0.0510	0.9944	0.2150	0.00499	0.016240	0	0	0.000e+0
0.0260	0.0540	0.7251	0.1723	0.03663	0.013721	0	0	0.000e+0
0.0260	0.0570	0.5456	0.1404	0.04480	0.011670	0	0	0.000e+0
0.0260	0.0590	0.4377	0.1186	0.04335	0.009844	0	0	0.000e+0
0.0260	0.0600	0.4090	0.1126	0.04317	0.009367	0	0	0.000e+0
0.0260	0.0620	0.0000	0.0000	0.00000	0.000000	25600	0	0.000e+0
0.0260	0.0649	0.0000	0.0000	0.00000	0.000000	25600	0	0.000e+0
0.0260	0.0660	0.0000	0.0000	0.00000	0.000000	25600	0	0.000e+0
0.0290	0.0450	1.0000	0.2929	0.00000	0.021673	0	0	0.000e+0
0.0290	0.0510	1.0000	0.2433	0.00000	0.019465	0	0	0.000e+0
0.0290	0.0540	0.9379	0.2064	0.02135	0.017009	0	0	0.000e+0
0.0290	0.0570	0.6410	0.1635	0.04500	0.014064	0	0	0.000e+0
0.0290	0.0590	0.5442	0.1439	0.04847	0.012660	0	0	0.000e+0
0.0290	0.0600	0.4747	0.1309	0.05127	0.011681	0	0	0.000e+0
0.0290	0.0620	0.3612	0.1063	0.04817	0.009671	0	0	0.000e+0
0.0290	0.0649	0.0000	0.0000	0.00000	0.000000	25600	0	0.000e+0
0.0290	0.0660	0.0000	0.0000	0.00000	0.000000	25600	0	0.000e+0
0.0300	0.0450	1.0000	0.3000	0.00000	0.022500	0	0	0.000e+0
0.0300	0.0510	1.0000	0.2507	0.00000	0.020308	0	0	0.000e+0
0.0300	0.0540	0.9158	0.2133	0.01552	0.018389	0	0	0.000e+0
0.0300	0.0570	0.6761	0.1715	0.04455	0.014924	0	0	0.000e+0
0.0300	0.0590	0.5661	0.1494	0.04840	0.013299	0	0	0.000e+0
0.0300	0.0600	0.4902	0.1357	0.05090	0.012256	0	0	0.000e+0
0.0300	0.0620	0.3491	0.1017	0.04457	0.009363	0	0	0.000e+0
0.0300	0.0649	0.0000	0.0000	0.00000	0.000000	25600	0	0.000e+0
0.0300	0.0660	0.0000	0.0000	0.00000	0.000000	25600	0	0.000e+0
0.0330	0.0450	1.0000	0.3199	0.00000	0.024954	0	0	0.000e+0
